race_id,year,round,race_date,race_name,circuit_id,driver_id,driver_code,driver_name,constructor_id,constructor_name,grid_position,finish_position,points,status_id,quali_position,winner,dnf_flag
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,20,vettel,Vettel,6,Ferrari,3,1,25.0,1,3.0,1,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,1,hamilton,Hamilton,131,Mercedes,1,2,18.0,1,1.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,8,raikkonen,Räikkönen,6,Ferrari,2,3,15.0,1,2.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,817,ricciardo,Ricciardo,9,Red Bull,8,4,12.0,1,5.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,4,alonso,Alonso,1,McLaren,10,5,10.0,1,11.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,830,max_verstappen,Verstappen,9,Red Bull,4,6,8.0,1,4.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,807,hulkenberg,Hülkenberg,4,Renault,7,7,6.0,1,8.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,822,bottas,Bottas,131,Mercedes,15,8,4.0,1,10.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,838,vandoorne,Vandoorne,1,McLaren,11,9,2.0,1,12.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,832,sainz,Sainz,4,Renault,9,10,1.0,1,9.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,815,perez,Pérez,10,Force India,12,11,0.0,1,13.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,839,ocon,Ocon,10,Force India,14,12,0.0,1,15.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,844,leclerc,Leclerc,15,Sauber,18,13,0.0,1,18.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,840,stroll,Stroll,3,Williams,13,14,0.0,1,14.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,843,brendon_hartley,Hartley,5,Toro Rosso,16,15,0.0,11,16.0,0,0
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,154,grosjean,Grosjean,210,Haas F1 Team,6,16,0.0,36,7.0,0,1
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,825,kevin_magnussen,Magnussen,210,Haas F1 Team,5,17,0.0,36,6.0,0,1
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,842,gasly,Gasly,5,Toro Rosso,20,18,0.0,5,20.0,0,1
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,828,ericsson,Ericsson,15,Sauber,17,19,0.0,38,17.0,0,1
989,2018,1,2018-03-25,Australian Grand Prix,albert_park,845,sirotkin,Sirotkin,3,Williams,19,20,0.0,23,19.0,0,1
990,2018,2,2018-04-08,Bahrain Grand Prix,bahrain,20,vettel,Vettel,6,Ferrari,1,1,25.0,1,1.0,1,0
